Nombre,A,B,C,RTC
Acetone,14.3145,2756.22,228.06,-26—77
Acetic acid,15.0717,3580.8,224.65,24—142
Acetonitrile,14.8950,3413.1,250.52,-27—81
Benzene,13.7819,2726.81,217.57,6—104
iso-Butane,13.8254,2181.79,248.87,-83—7
n-Butane,13.6608,2154.7,238.79,-73—19
1-Butanol,15.3144,3212.43,182.74,37—138
2-Butanol,15.1989,3026.03,186.50,25—120
iso-Butanol,14.6047,2740.95,166.67,30—128
tert-Butanol,14.8445,2658.29,177.65,10—101
Carbon tetrachloride,14.0572,2914.23,232.15,-14—101
Chlorobenzene,13.8635,3174.78,211.70,29—159
1-Chlorobutane,13.7965,2723.73,218.27,-17—79
Chloroform,13.7324,2548.74,218.55,-23—84
Cyclohexane,13.6568,2723.44,220.62,9—105
Cyclopentane,13.9727,2653.9,234.51,-35—71
n-Decane,13.9748,3442.76,193.86,65—203
Dichloromethane,13.9891,2463.93,223.24,-38—60
Diethyl ether,14.0735,2511.29,231.20,-43—55
"1,4-Dioxane",15.0967,3579.78,240.34,20—105
n-Eicosane,14.4575,4680.46,132.10,208—379
Ethanol,16.8958,3795.17,230.92,3—96
Ethylbenzene,13.9726,3259.93,212.30,33—163
Ethylene glycol,15.7567,4187.46,178.65,100—222
n-Heptane,13.8622,2910.26,216.43,4—123
n-Hexane,13.8193,2696.04,224.32,-19—92
Methanol,16.5785,3638.27,239.50,-11—83
Methyl acetate,14.2456,2662.78,219.69,-23—78
Methyl ethyl ketone,14.1334,2838.24,218.69,-8—103
Nitromethane,14.7513,3331.7,227.60,56—146
n-Nonane,13.9854,3311.19,202.69,46—178
iso-Octane,13.6703,2896.31,220.77,2—125
n-Octane,13.9346,3123.13,209.64,26—152
n-Pentane,13.7667,2451.88,232.01,-45—58
Phenol,14.4387,3507.8,175.40,80—208
1-Propanol,16.1154,3483.67,205.81,20—116
2-Propanol,16.6796,3640.2,219.61,8—100
Toluene,13.9320,3056.96,217.63,13—136
Water,16.3872,3885.7,230.17,0—200
o-Xylene,14.0415,3358.79,212.04,40—172
m-Xylene,14.1387,3381.81,216.12,35—166
p-Xylene,14.0579,3331.45,214.63,35—166
